studentNumber,password,name,statusId,roleId,birthDate,gender,address,departmentId,international,phoneNumber,grade
2400243,TempPass123!,Student2400243,1,1,2024-03-01,F,인천광역시 연수구 송도동,1,False,104810229,2
2400588,TempPass123!,Student2400588,1,1,2024-03-01,F,전라북도 임실군 성수면 임실로 22,2,False,107045688,2
2400693,TempPass123!,Student2400693,1,1,2024-03-01,F,충청남도 보령시 대천4동 해수욕장로 8,3,False,101319848,2
2400031,TempPass123!,Student2400031,1,1,2024-03-01,F,충청남도 보령시 대천4동 해수욕장로 8,5,False,108035924,2
2400904,TempPass123!,Student2400904,1,1,2024-03-01,F,전라북도 완주군 구천면 완주로 88,6,False,105209343,2
2400261,TempPass123!,Student2400261,1,1,2024-03-01,F,대전광역시 유성구 대학로 99,7,False,108833269,2
2400381,TempPass123!,Student2400381,1,1,2024-03-01,F,충청남도 금산군 금산읍 금산로 16,12,False,101511977,2
2400094,TempPass123!,Student2400094,1,1,2024-03-01,F,전라북도 군산시 대학로 120,14,False,105963716,2
2400615,TempPass123!,Student2400615,1,1,2024-03-01,F,전라북도 익산시 금마면 조촌길 10,16,False,104799730,2
2400369,TempPass123!,Student2400369,1,1,2024-03-01,F,전라북도 전주시 완산구 중앙로 50,17,False,106786522,2
2400707,TempPass123!,Student2400707,1,1,2024-03-01,F,전라북도 익산시 금마면 조촌길 10,18,False,106516154,2
2400549,TempPass123!,Student2400549,1,1,2024-03-01,F,전라북도 부안군 변산면 해수욕장길 12,19,False,103799698,2
2400315,TempPass123!,Student2400315,1,1,2024-03-01,F,인천광역시 연수구 송도동,20,False,107759332,2
2400649,TempPass123!,Student2400649,1,1,2024-03-01,F,전라북도 정읍시 칠보면 정읍로 33,25,False,101575401,2
2400760,TempPass123!,Student2400760,1,1,2024-03-01,F,서울특별시 종로구 세종로 1,26,False,102823026,2
2400071,TempPass123!,Student2400071,1,1,2024-03-01,F,전라북도 진안군 정천면 진안로 15,27,False,107047354,2
2400563,TempPass123!,Student2400563,1,1,2024-03-01,F,전라북도 완주군 구천면 완주로 88,28,False,109566767,2
2400730,TempPass123!,Student2400730,1,1,2024-03-01,F,충청남도 보령시 대천4동 해수욕장로 8,29,False,108962700,2
2400420,TempPass123!,Student2400420,1,1,2024-03-01,F,충청남도 계룡시 엄사면 충청대로 33,30,False,109155371,2
2400751,TempPass123!,Student2400751,1,1,2024-03-01,F,충청남도 보령시 대천4동 해수욕장로 8,33,False,102075721,2
2400282,TempPass123!,Student2400282,1,1,2024-03-01,F,전라북도 고창군 심원면 고창로 9,34,False,106523666,2
2400985,TempPass123!,Student2400985,1,1,2024-03-01,F,충청남도 보령시 대천4동 해수욕장로 8,38,False,107813362,2
2400313,TempPass123!,Student2400313,1,1,2024-03-01,F,충청남도 청양군 청양읍 청양로 9,39,False,102708082,2
2400281,TempPass123!,Student2400281,1,1,2024-03-01,F,부산광역시 해운대구 우동 1408,41,False,103790614,2
2400896,TempPass123!,Student2400896,1,1,2024-03-01,F,대전광역시 유성구 대학로 99,42,False,108773640,2
2400091,TempPass123!,Student2400091,1,1,2024-03-01,F,광주광역시 북구 효천로 101,46,False,104749588,2
2400915,TempPass123!,Student2400915,1,1,2024-03-01,F,충청남도 청양군 청양읍 청양로 9,47,False,106778105,2
2400858,TempPass123!,Student2400858,1,1,2024-03-01,F,인천광역시 연수구 송도동,49,False,103354980,2
2400859,TempPass123!,Student2400859,1,1,2024-03-01,F,전라북도 정읍시 칠보면 정읍로 33,50,False,105901820,2
2400097,TempPass123!,Student2400097,1,1,2024-03-01,F,충청남도 논산시 강경읍 논산로 14,52,False,101908368,2
2400345,TempPass123!,Student2400345,1,1,2024-03-01,F,광주광역시 북구 효천로 101,53,False,102892940,2
2400538,TempPass123!,Student2400538,1,1,2024-03-01,F,전라북도 정읍시 칠보면 정읍로 33,2,False,106017850,2
2400581,TempPass123!,Student2400581,1,1,2024-03-01,F,전라북도 정읍시 칠보면 정읍로 33,3,False,104097946,2
2400390,TempPass123!,Student2400390,1,1,2024-03-01,F,충청남도 공주시 금성동 공주로 21,4,False,107441072,2
2400404,TempPass123!,Student2400404,1,1,2024-03-01,F,충청남도 논산시 강경읍 논산로 14,6,False,102237318,2
2400806,TempPass123!,Student2400806,1,1,2024-03-01,F,충청남도 청양군 청양읍 청양로 9,7,False,109039701,2
2400746,TempPass123!,Student2400746,1,1,2024-03-01,F,전라북도 익산시 금마면 조촌길 10,8,False,107967587,2
2400170,TempPass123!,Student2400170,1,1,2024-03-01,F,충청남도 금산군 금산읍 금산로 16,10,False,103325990,2
2400865,TempPass123!,Student2400865,1,1,2024-03-01,F,인천광역시 연수구 송도동,11,False,108177112,2
2400198,TempPass123!,Student2400198,1,1,2024-03-01,F,광주광역시 북구 효천로 101,12,False,105492685,2
2400321,TempPass123!,Student2400321,1,1,2024-03-01,F,전라북도 남원시 금동로 5,16,False,107496139,2
2400392,TempPass123!,Student2400392,1,1,2024-03-01,F,서울특별시 종로구 세종로 1,18,False,106849168,2
