studentNumber,password,name,statusId,roleId,birthDate,gender,address,departmentId,international,phoneNumber
2300575,TempPass123!,Student2300575,1,1,2023-03-01,M,전라북도 김제시 검산동 3길 5,1,False,0107766776
2300130,TempPass123!,Student2300130,1,1,2023-03-01,F,충청남도 계룡시 엄사면 충청대로 33,2,False,0104259778
2300966,TempPass123!,Student2300966,1,1,2023-03-01,F,전라북도 고창군 심원면 고창로 9,3,False,0108767389
2300142,TempPass123!,Student2300142,1,1,2023-03-01,F,충청남도 공주시 금성동 공주로 21,4,False,0104878230
2300846,TempPass123!,Student2300846,1,1,2023-03-01,F,충청남도 논산시 강경읍 논산로 14,5,False,0108734818
2300427,TempPass123!,Student2300427,1,1,2023-03-01,F,전라북도 군산시 대학로 120,6,False,0103116361
2300788,TempPass123!,Student2300788,1,1,2023-03-01,F,부산광역시 해운대구 우동 1408,7,False,0102960999
2300385,TempPass123!,Student2300385,1,1,2023-03-01,F,충청남도 부여군 부여읍 관북리 45,8,False,0103027384
2300125,TempPass123!,Student2300125,1,1,2023-03-01,F,충청남도 계룡시 엄사면 충청대로 33,9,False,0109290408
2300553,TempPass123!,Student2300553,1,1,2023-03-01,M,전라북도 부안군 변산면 해수욕장길 12,10,False,0105051541
2300303,TempPass123!,Student2300303,1,1,2023-03-01,M,전라북도 익산시 금마면 조촌길 10,11,False,0105002500
2300086,TempPass123!,Student2300086,1,1,2023-03-01,F,서울특별시 종로구 세종로 1,12,False,0104778840
2300018,TempPass123!,Student2300018,1,1,2023-03-01,F,충청남도 청양군 청양읍 청양로 9,13,False,0104449228
2300915,TempPass123!,Student2300915,1,1,2023-03-01,F,전라북도 군산시 대학로 120,14,False,0109362135
2300188,TempPass123!,Student2300188,1,1,2023-03-01,F,전라북도 익산시 금마면 조촌길 10,15,False,0101757283
2300920,TempPass123!,Student2300920,1,1,2023-03-01,F,부산광역시 해운대구 우동 1408,16,False,0106645028
2300401,TempPass123!,Student2300401,1,1,2023-03-01,F,서울특별시 종로구 세종로 1,17,False,0108133797
2300993,TempPass123!,Student2300993,1,1,2023-03-01,M,충청남도 부여군 부여읍 관북리 45,18,False,0102976360
2300744,TempPass123!,Student2300744,1,1,2023-03-01,F,광주광역시 북구 효천로 101,19,False,0105799817
2300566,TempPass123!,Student2300566,1,1,2023-03-01,F,전라북도 무주군 무주읍 태권대로 18,20,False,0102701252
2300505,TempPass123!,Student2300505,1,1,2023-03-01,M,전라북도 임실군 성수면 임실로 22,21,False,0101834753
2300080,TempPass123!,Student2300080,1,1,2023-03-01,F,전라북도 장수군 장수읍 약수로 31,22,False,0101447116
2300588,TempPass123!,Student2300588,1,1,2023-03-01,M,광주광역시 북구 효천로 101,23,False,0103628556
2300876,TempPass123!,Student2300876,1,1,2023-03-01,F,전라북도 완주군 구천면 완주로 88,24,False,0102588477
